d,target,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,1e-02,0,0,1.823413e-01,5.924400e-02,7.223568e-02,5.086165e-02,1.958086e+00,3.439119e-03,0.1130
4,1e-02,0,250,3.754321e-02,7.936286e-04,3.018090e-02,6.568684e-03,6.447555e-01,2.986479e-03,16.1340
4,1e-02,0,500,1.560698e-02,9.077348e-04,9.222222e-03,5.477022e-03,3.717353e-01,1.683723e-03,33.3798
4,1e-02,0,750,9.153170e-03,1.045290e-03,4.730895e-03,3.376985e-03,2.821291e-01,1.171323e-03,49.4840
4,1e-02,0,1000,4.833964e-03,9.367152e-04,2.188124e-03,1.709125e-03,1.954631e-01,8.117505e-04,78.3267
4,1e-02,0,1250,3.798759e-03,8.991284e-04,1.544044e-03,1.355586e-03,1.944575e-01,6.662055e-04,95.7899
4,1e-02,0,1500,2.183978e-03,6.048629e-04,8.755412e-04,7.035741e-04,1.333262e-01,5.531154e-04,111.6627
4,1e-02,0,1750,1.699341e-03,4.897873e-04,6.701292e-04,5.394246e-04,1.179793e-01,4.753802e-04,127.3538
4,1e-02,0,2000,1.910174e-03,5.307666e-04,7.645254e-04,6.148821e-04,1.294958e-01,4.102725e-04,143.7925
4,1e-02,0,2250,1.221393e-03,3.751083e-04,4.768933e-04,3.693911e-04,9.547613e-02,3.600239e-04,159.1913
4,1e-02,0,2500,9.888313e-04,2.852525e-04,3.732863e-04,3.302925e-04,8.663063e-02,3.208721e-04,175.5596
4,1e-02,0,2750,7.443706e-04,2.450405e-04,2.682508e-04,2.310794e-04,7.662887e-02,2.727978e-04,191.0279
4,1e-02,0,3000,6.498810e-04,2.185497e-04,2.298362e-04,2.014951e-04,7.106669e-02,2.517334e-04,206.5715
4,1e-02,0,3250,5.663052e-04,1.929741e-04,2.018739e-04,1.714573e-04,6.646351e-02,2.375125e-04,222.1538
4,1e-02,0,3500,4.896677e-04,1.711676e-04,1.675046e-04,1.509956e-04,6.087801e-02,2.171716e-04,237.8645
4,1e-02,0,3750,4.256749e-04,1.486255e-04,1.455834e-04,1.314660e-04,5.716170e-02,2.061170e-04,253.2947
4,1e-02,0,4000,3.598147e-04,1.300482e-04,1.212131e-04,1.085534e-04,5.248302e-02,1.917986e-04,270.4056
4,1e-02,0,4250,3.156925e-04,1.161165e-04,1.048572e-04,9.471882e-05,4.907954e-02,1.815374e-04,286.5168
4,1e-02,0,4500,2.849136e-04,1.064092e-04,9.394651e-05,8.455791e-05,4.696640e-02,1.757586e-04,303.7172
4,1e-02,0,4750,2.695196e-04,9.841169e-05,8.890914e-05,8.219873e-05,4.684999e-02,1.628617e-04,319.9141
4,1e-02,0,5000,2.311264e-04,9.033222e-05,7.373571e-05,6.705843e-05,4.182926e-02,1.577108e-04,336.9004
4,1e-02,0,5250,1.989749e-04,7.916027e-05,6.300086e-05,5.681374e-05,3.990302e-02,1.554292e-04,352.4981
4,1e-02,0,5500,1.822415e-04,7.435643e-05,5.657523e-05,5.130980e-05,3.829704e-02,1.514152e-04,369.7307
4,1e-02,0,5750,1.679203e-04,6.962108e-05,5.080015e-05,4.749904e-05,3.694241e-02,1.473749e-04,385.3033
4,1e-02,0,6000,1.623704e-04,6.449680e-05,5.151465e-05,4.635891e-05,3.717797e-02,1.347687e-04,400.8900
4,1e-02,0,6250,1.382055e-04,6.093141e-05,3.996373e-05,3.731034e-05,3.398444e-02,1.436883e-04,416.4895
4,1e-02,0,6500,2.147826e-04,8.717191e-05,6.073737e-05,6.687334e-05,3.950655e-02,1.405229e-04,432.0958
4,1e-02,0,6750,1.303869e-04,5.594607e-05,3.850842e-05,3.593241e-05,3.239219e-02,1.422105e-04,447.5130
4,1e-02,0,7000,1.116529e-04,5.229092e-05,3.041750e-05,2.894449e-05,3.079340e-02,1.398054e-04,463.2226
4,1e-02,0,7250,6.053717e-04,8.992474e-05,2.413151e-04,2.741318e-04,9.332379e-02,1.938069e-04,478.7927
4,1e-02,0,7500,1.287137e-04,5.371755e-05,3.714614e-05,3.785003e-05,3.201850e-02,1.287118e-04,494.2939
4,1e-02,0,7750,5.229029e-04,6.285530e-05,2.354962e-04,2.245515e-04,9.074880e-02,1.684115e-04,510.7748
4,1e-02,0,8000,8.627132e-05,4.399656e-05,2.102547e-05,2.124929e-05,2.787414e-02,1.385582e-04,526.8726
4,1e-02,0,8250,8.096818e-05,4.183920e-05,1.928592e-05,1.984306e-05,2.740739e-02,1.375146e-04,542.6865
4,1e-02,0,8500,1.784051e-04,4.706394e-05,7.092704e-05,6.041415e-05,3.437057e-02,1.091482e-04,558.7083
4,1e-02,0,8750,7.358115e-05,3.926237e-05,1.675952e-05,1.755926e-05,2.640324e-02,1.364040e-04,574.6252
4,1e-02,0,9000,7.169574e-05,3.749395e-05,1.646388e-05,1.773791e-05,2.632458e-02,1.353721e-04,590.7413
4,1e-02,0,9250,2.428242e-03,1.093540e-04,1.275738e-03,1.043150e-03,1.639988e-01,1.145997e-04,606.6177
4,1e-02,0,9500,9.990152e-05,3.720120e-05,2.969174e-05,3.300856e-05,2.787376e-02,1.212433e-04,623.9640
4,1e-02,0,9750,8.927235e-05,3.441389e-05,2.988563e-05,2.497284e-05,2.948565e-02,1.096674e-04,639.6851
4,1e-02,0,10000,6.725035e-04,4.559518e-05,3.138788e-04,3.130296e-04,7.547459e-02,9.161041e-05,655.9421
4,1e-02,0,10250,8.074012e-05,4.128428e-05,1.596692e-05,2.348893e-05,2.709029e-02,1.316844e-04,671.4449
4,1e-02,0,10500,5.479646e-05,3.003885e-05,1.196350e-05,1.279410e-05,2.419382e-02,1.261394e-04,687.0168
4,1e-02,0,10750,1.572333e-04,5.553453e-05,4.792615e-05,5.377260e-05,4.154035e-02,9.863871e-05,703.5571
4,1e-02,0,11000,1.183170e-03,8.020870e-05,5.705751e-04,5.323865e-04,1.423162e-01,1.474903e-04,719.1244
4,1e-02,0,11250,2.233009e-04,4.992821e-05,6.893340e-05,1.044393e-04,6.812985e-02,1.483647e-04,738.2788
4,1e-02,0,11500,7.786229e-04,5.172095e-05,3.955421e-04,3.313598e-04,9.573983e-02,1.513914e-04,757.0692
4,1e-02,0,11750,1.663770e-04,3.053672e-05,6.793633e-05,6.790392e-05,5.402028e-02,9.553522e-05,774.1870
4,1e-02,0,12000,4.369223e-05,2.544760e-05,8.286740e-06,9.957899e-06,2.239153e-02,1.271132e-04,792.1372
4,1e-02,0,12250,1.772707e-04,3.061208e-05,8.595822e-05,6.070038e-05,3.749777e-02,9.758352e-05,814.0635
4,1e-02,0,12500,4.299313e-04,9.422460e-05,1.309086e-04,2.047981e-04,7.915840e-02,1.629820e-04,836.7680
4,1e-02,0,12750,2.279799e-04,2.739603e-05,9.074956e-05,1.098343e-04,5.586681e-02,8.970738e-05,858.4307
4,1e-02,0,13000,5.078510e-05,2.303164e-05,1.283801e-05,1.491545e-05,2.487420e-02,1.093465e-04,879.4393
4,1e-02,0,13250,3.879988e-05,2.228904e-05,7.903418e-06,8.607423e-06,2.197239e-02,1.234661e-04,901.0787
4,1e-02,0,13500,4.088016e-05,2.152841e-05,8.568672e-06,1.078308e-05,2.324011e-02,1.193991e-04,925.0982
4,1e-02,0,13750,2.756884e-04,2.380191e-05,1.170134e-04,1.348731e-04,5.465068e-02,1.083015e-04,955.2405
4,1e-02,0,14000,3.965616e-05,2.121482e-05,7.845145e-06,1.059619e-05,2.347869e-02,1.257989e-04,975.1453
4,1e-02,0,14250,5.141189e-05,2.046696e-05,1.380249e-05,1.714244e-05,2.392201e-02,1.145256e-04,995.5046
4,1e-02,0,14500,3.721733e-05,1.949188e-05,8.498642e-06,9.226811e-06,2.224844e-02,1.132934e-04,1019.5681
4,1e-02,0,14750,3.597860e-05,2.031162e-05,7.543889e-06,8.123084e-06,2.072626e-02,1.199411e-04,1040.6526
4,1e-02,0,15000,4.564291e-04,3.638812e-05,2.357569e-04,1.842841e-04,8.450357e-02,1.000475e-04,1064.2449
